iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ECU,South America,Ecuador,2021-01-20,230808.0,0.0,1494.14,14316.0,0.0,19.86,12949.35,0.0,83.83,803.19,0.0,1.11,1.09,,,,,,,,,782957.0,6937.0,43.99,0.39,4853.0,0.27,0.3,3.3,people tested,17.0,17.0,,,,,0.0,0.0,,,,,,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-21,230808.0,0.0,1494.14,14316.0,0.0,19.86,12949.35,0.0,83.83,803.19,0.0,1.11,1.09,,,,,,,,,786859.0,3902.0,44.21,0.22,4933.0,0.28,0.3,3.4,people tested,3008.0,3008.0,,,2991.0,2991.0,0.02,0.02,,,166.0,2991.0,0.02,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-22,230808.0,0.0,1494.14,14316.0,0.0,19.86,12949.35,0.0,83.83,803.19,0.0,1.11,1.09,,,,,,,,,790920.0,4061.0,44.44,0.23,3885.0,0.22,0.27,3.7,people tested,3811.0,3811.0,,,803.0,1897.0,0.02,0.02,,,105.0,1897.0,0.01,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-23,230808.0,0.0,1494.14,14316.0,0.0,19.86,12949.35,0.0,83.83,803.19,0.0,1.11,1.09,,,,,,,,,800332.0,9412.0,44.97,0.53,4856.0,0.27,0.29,3.5,people tested,3848.0,3848.0,,,37.0,1277.0,0.02,0.02,,,71.0,1277.0,0.01,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-25,238232.0,0.0,1060.57,14596.0,0.0,40.0,13365.87,0.0,59.5,818.9,0.0,2.24,1.08,,,,,,,,,803528.0,2003.0,45.15,0.11,4771.0,0.27,0.29,3.5,people tested,5116.0,5116.0,,,,1020.0,0.03,0.03,,,57.0,1020.0,0.01,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-26,238232.0,0.0,1060.57,14596.0,0.0,40.0,13365.87,0.0,59.5,818.9,0.0,2.24,1.08,,,,,,,,,808172.0,4644.0,45.41,0.26,4593.0,0.26,0.29,3.5,people tested,5876.0,5876.0,,,760.0,976.0,0.03,0.03,,,54.0,976.0,0.0,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-27,238232.0,0.0,1060.57,14596.0,0.0,40.0,13365.87,0.0,59.5,818.9,0.0,2.24,1.08,,,,,,,,,817762.0,9590.0,45.95,0.54,4972.0,0.28,0.28,3.5,people tested,6580.0,6580.0,,,704.0,938.0,0.04,0.04,,,52.0,938.0,0.0,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-28,238232.0,0.0,1060.57,14596.0,0.0,40.0,13365.87,0.0,59.5,818.9,0.0,2.24,1.08,,,,,,,,,820403.0,2641.0,46.1,0.15,4792.0,0.27,0.28,3.5,people tested,6802.0,6802.0,,,222.0,542.0,0.04,0.04,,,30.0,542.0,0.0,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-29,238232.0,0.0,1060.57,14596.0,0.0,40.0,13365.87,0.0,59.5,818.9,0.0,2.24,1.08,,,,,,,,,832584.0,12181.0,46.78,0.68,5952.0,0.33,0.28,3.6,people tested,7091.0,7091.0,,,289.0,469.0,0.04,0.04,,,26.0,469.0,0.0,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,,,,
ECU,South America,Ecuador,2021-01-31,249779.0,11547.0,1649.57,14851.0,255.0,36.43,14013.71,647.84,92.55,833.21,14.31,2.04,1.07,,,,,,,,,837041.0,887.0,47.03,0.05,5074.0,0.28,0.26,3.8,people tested,7133.0,7133.0,,,,379.0,0.04,0.04,,,21.0,379.0,0.0,69.44,66.94,28.1,7.1,4.46,10581.94,3.6,140.45,5.55,2.0,12.3,80.64,1.5,77.01,0.76,18001002,43303.3,51.99,45.6,2433.08
